,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
31,2021-04-16,28.79,28.87,28.51,28.87,28.87,39575320,0.0,1.0
32,2021-04-15,28.65,28.89,28.29,28.63,28.63,50352730,0.0,1.0
33,2021-04-14,28.4,28.85,28.31,28.76,28.76,54416460,0.0,1.0
34,2021-04-13,28.7,28.8,28.13,28.29,28.29,66969480,0.0,1.0
35,2021-04-12,29.01,29.09,28.5,28.59,28.59,63522780,0.0,1.0
36,2021-04-09,29.3,29.32,28.73,28.86,28.86,52859580,0.0,1.0
37,2021-04-08,29.4,29.48,28.98,29.17,29.17,63040060,0.0,1.0
38,2021-04-07,29.5,29.72,29.27,29.7,29.7,48844050,0.0,1.0
39,2021-04-06,30.0,30.0,29.22,29.43,29.43,58384570,0.0,1.0
40,2021-04-05,30.0,30.0,30.0,30.0,30.0,0,0.0,1.0
41,2021-04-02,30.0,30.08,29.65,30.0,30.0,38134960,0.0,1.0
42,2021-04-01,30.0,30.15,29.57,29.83,29.83,52511820,0.0,1.0
43,2021-03-31,30.97,30.97,29.73,30.0,30.0,116841300,0.0,1.0
44,2021-03-30,30.99,31.69,30.8,31.37,31.37,47909950,0.0,1.0
45,2021-03-29,30.68,31.33,30.32,31.0,31.0,51928830,0.0,1.0
46,2021-03-26,30.6,30.96,30.52,30.72,30.72,42877120,0.0,1.0
47,2021-03-25,30.77,30.95,30.4,30.55,30.55,36169450,0.0,1.0
48,2021-03-24,31.42,31.5,30.4,30.76,30.76,55912270,0.0,1.0
49,2021-03-23,31.61,31.66,31.14,31.42,31.42,42266010,0.0,1.0
50,2021-03-22,30.86,31.74,30.85,31.63,31.63,52195000,0.0,1.0
51,2021-03-19,32.5,32.5,30.85,31.2,31.2,98992200,0.0,1.0
52,2021-03-18,32.6,33.28,32.48,32.7,32.7,48213520,0.0,1.0
53,2021-03-17,32.65,33.43,32.36,32.71,32.71,71897070,0.0,1.0
54,2021-03-16,31.49,33.16,31.3,32.9,32.9,120542320,0.0,1.0
55,2021-03-15,31.3,31.88,31.25,31.44,31.44,61931560,0.0,1.0
56,2021-03-12,31.1,32.36,30.66,31.49,31.49,90195990,0.0,1.0
57,2021-03-11,30.76,31.46,30.68,31.15,31.15,74267940,0.0,1.0
58,2021-03-10,31.17,31.2,30.3,30.69,30.69,87751780,0.0,1.0
59,2021-03-09,31.32,31.66,30.71,31.02,31.02,94341470,0.0,1.0
60,2021-03-08,31.9,32.2,31.2,31.2,31.2,77195980,0.0,1.0
61,2021-03-05,32.2,32.69,31.08,31.54,31.54,130328370,0.0,1.0
62,2021-03-04,33.3,34.1,32.47,32.69,32.69,129285780,0.0,1.0
63,2021-03-03,32.95,33.99,32.59,33.5,33.5,116484060,0.0,1.0
